Stock Name,close,date,high,low,month,open,volume,source_file,Stock,Sector,Daily_Return,Volatility (%)
TRENT,5770.8,,5894.0,5722.95,2024-08,5894.0,767562,2024-08-01_05-30-00.yaml,extracted_stock_data,,-0.0116800822058571,3.824674707216164
TRENT,5770.8,,5894.0,5722.95,2024-08,5894.0,767562,2024-08-01_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.9316799676179377
TRENT,5538.25,,5805.85,5524.0,2024-08,5725.0,560989,2024-08-02_05-30-00.yaml,extracted_stock_data,,-0.0402977056907187,3.905056942143805
TRENT,5538.25,,5805.85,5524.0,2024-08,5725.0,560989,2024-08-02_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.877257526441389
TRENT,5346.9,,5424.35,5226.05,2024-08,5360.0,1074769,2024-08-05_05-30-00.yaml,extracted_stock_data,,-0.0345506251974901,3.8625237080994954
TRENT,5346.9,,5424.35,5226.05,2024-08,5360.0,1074769,2024-08-05_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.8383151027916464
TRENT,5220.7,,5467.7,5194.55,2024-08,5355.1,642644,2024-08-06_05-30-00.yaml,extracted_stock_data,,-0.0236024612392227,3.854417607555151
TRENT,5220.7,,5467.7,5194.55,2024-08,5355.1,642644,2024-08-06_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.849703638949865
TRENT,5472.45,,5499.8,5274.6,2024-08,5289.0,717292,2024-08-07_05-30-00.yaml,extracted_stock_data,,0.0482215028636006,3.782186483198061
TRENT,5472.45,,5499.8,5274.6,2024-08,5289.0,717292,2024-08-07_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.709912811319725
TRENT,5644.1,,5727.4,5490.0,2024-08,5515.0,1183241,2024-08-08_05-30-00.yaml,extracted_stock_data,,0.0313662070918876,3.7580999024925696
TRENT,5644.1,,5727.4,5490.0,2024-08,5515.0,1183241,2024-08-08_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.793759996915415
TRENT,6275.35,,6373.85,5626.6,2024-08,5738.85,6877196,2024-08-09_05-30-00.yaml,extracted_stock_data,,0.1118424549529597,4.570267355310167
TRENT,6275.35,,6373.85,5626.6,2024-08,5738.85,6877196,2024-08-09_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,5.126136705303383
TRENT,6382.35,,6434.0,6277.0,2024-08,6302.95,1889796,2024-08-12_05-30-00.yaml,extracted_stock_data,,0.0170508417857171,5.72688862865469
TRENT,6382.35,,6434.0,6277.0,2024-08,6302.95,1889796,2024-08-12_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,6.174388581788041
